Compound identifier,Trivial name,Final ABS IC50 (nM),Final iGc IC50 (nM),Final LGc IC50 (nM),Final mGc IC50 (nM),FC iGC-ABS,FC LGc-ABS,FC mGc-ABS,SMILE
BI-847325,,364.70,740.10,1000.00,,2.03,2.74,,O=C(NCC)C#CC1=CC2=C(/C(C(N2)=O)=C(NC3=CC=C(CN(C)C)C=C3)/C4=CC=CC=C4)C=C1
MMV019881,,646.00,740.91,287.60,1502.00,1.15,0.45,2.33,O=C(NC1CCN(Cc2ccccc2)CC1)c3cc(cc(c3)C(=O)NC4CCN(Cc5ccccc5)CC4)C(=O)NC6CCN(Cc7ccccc7)CC6
CLM17,,14.00,754.00,237.00,,53.86,16.93,,NC1=NC=C(C2=CC=C(C(N)=O)C=C2)N=C1C3=CC=C(C(F)(F)F)C=C3
MMV642990,,13.95,754.05,236.95,,54.05,16.99,,NC(=O)c1ccc(cc1)c2cnc(N)c(n2)c3ccc(cc3)C(F)(F)F
GSK1070916,,535.20,761.10,1000.00,,1.42,1.87,,CN(C)CC1=CC=CC(C2=CC3=C(C4=CN(CC)N=C4C5=CC=C(NC(N(C)C)=O)C=C5)C=CN=C3N2)=C1
MMV665941,,255.00,769.00,157.90,843.00,3.02,0.62,3.31,CN(C)c1ccc(cc1)C(O)(c2ccc(cc2)N(C)C)c3ccc(cc3)N(C)C
AH25,,73.00,780.00,2800.00,,10.68,38.36,,FC(F)(F)Oc1cccc(c1)c1nc2c(nccc2[NH]1)N1CCC(N)CC1
MMV668436,,163.91,781.60,5000.00,,4.77,30.50,,CN(C)CCCNc1nc(nc2cc(sc12)c3ccc(cc3)C(F)(F)F)N4CCNCC4
SD-70,,3200.00,800.00,,,0.25,,,O=C(NC(c1ccco1)c1ccc2cccnc2c1O)C(C)C
MMV665831,,205.00,810.00,371.00,,3.95,1.81,,CCOC(=O)c1c(NC(=O)c2ccccc2)sc3c(O)c(CN(CC)CC)ccc13
MMV666021,,94.40,819.00,603.00,5000.00,8.68,6.39,52.97,Cc1ccc(cc1)c2cc3C(=O)c4ccccc4c3nn2
MMV665878,,139.00,819.00,,1100.00,5.89,,7.91,COc1cccc(NC(=O)[C@H](C(C)C)N2C(=O)Nc3ccccc3C2=O)c1
MMV666597,,551.00,819.00,465.00,1927.00,1.49,0.84,3.50,CCCCCCc1cc2C=C(C(=Nc3ccccc3C)Oc2cc1O)c4nc5ccccc5[nH]4
MMV019918,,280.00,824.00,406.90,320.00,2.94,1.45,1.14,Clc1cc(Br)ccc1c2oc(CNCC3CCNCC3)cc2
MMV666692,,387.00,830.00,594.00,,2.14,1.53,,CCCCCCc1cc2C=C(C(=O)Oc2cc1O)c3csc(C=Cc4ccccc4)n3
MMV000448,,32.70,867.00,703.00,643.00,26.51,21.50,19.66,CN(C)CCCNc1c2ccccc2nc3ccccc13
MI-463,,595.00,874.90,1000.00,,1.47,1.68,,CC1=C(C=CC2=C1C=C(N2)C#N)CN3CCC(CC3)NC4=C5C=C(SC5=NC=N4)CC(F)(F)F
MMV666604,,1262.72,875.00,1083.00,,0.69,0.86,,CCOC(=O)C1=C(C)N=C2SC(=Cc3ccccc3O)C(=O)N2C1c4ccc(OC)c5ccccc45
KS54,,30.00,880.00,810.00,,29.33,27.00,,ClC1=CC(N=C2N3C(NCCNCC)=CC(C4=CC=C(C(F)(F)F)C=C4)=C2C#N)=C3C=C1
GD24,,445.95,882.60,,,1.98,,,CCN(CC)Cc1cccc(c1O)Nc1nc2ccccc2n1Cc1ccc(cc1)C(F)(F)F
MMV667491,,1230.00,891.50,696.40,1390.65,0.72,0.57,1.13,C12=C(N=CN(CCCN(C)C)C1=N)Oc3c(ccc(cccc4)c34)C2c5ccc(OC)cc5
MMV394902,,18.60,919.55,208.60,,49.44,11.22,,CS(=O)(=O)c1ccc(cc1)c2cnc(N)c(c2)c3ccc(cc3)C(F)(F)F
KS59,,20.00,920.00,720.00,,46.00,36.00,,ClC1=CC(N=C2N3C(NCCNCC)=CC(C4=CC=C(C(F)(F)F)C=C4)=C2C#N)=C3C=C1Cl
MMV006172,,40.00,923.57,456.80,405.00,23.09,11.42,10.13,CN1CCN(CC1)c2ccc(Nc3c4ccccc4nc5ccccc35)cc2
MMV006455,,196.00,925.00,743.00,,4.72,3.79,,CCCN(CCC)CC(O)COc1ccccc1C(=O)Nc2ccccc2
GD33,,403.00,928.60,,,2.30,,,Cc1cc(c(c(c1)Nc1nc2ccccc2n1Cc1ccc(cc1)C(F)(F)F)O)CNC(C)(C)C
MMV007384,,100.00,949.00,1113.50,870.00,9.49,11.14,8.70,COc1ccc(cc1)c2nc3cc(Cc4ccc5[nH]c(nc5c4)c6ccc(OC)cc6)ccc3[nH]2
GD32,,780.00,996.07,,,1.28,,,CCNCc1cc(cc(c1O)Nc1nc2ccccc2n1Cc1ccc(cc1)C(F)(F)F)C
Aurora A Inhibitor I,,1000.00,1000.00,1000.00,,1.00,1.00,,ClC1=CC=CC=C1NC(C2=CC=C(NC3=NC(NC4=CC=C(CC(N5CCN(CC)CC5)=O)C=C4)=NC=C3F)C=C2)=O
CUDC-907,,1000.00,1000.00,1000.00,,1.00,1.00,,CN(C1=NC=C(C(NO)=O)C=N1)CC2=CC3=NC(C4=CC=C(OC)N=C4)=NC(N5CCOCC5)=C3S2
ENMD-2076,,1000.00,1000.00,1000.00,,1.00,1.00,,CN(CC1)CCN1C2=CC(NC3=NNC(C)=C3)=NC(/C=C/C4=CC=CC=C4)=N2.OC([C@H](O)[C@@H](O)C(O)=O)=O
ENMD-2076 L-(+)-Tartaric acid,,1000.00,1000.00,1000.00,,1.00,1.00,,CC1=CC(=NN1)NC2=CC(=NC(=N2)/C=C/C3=CC=CC=C3)N4CCN(CC4)C.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
BRD4770,,5000.00,1000.00,1000.00,,0.20,0.20,,O=C(C1=CC=CC=C1)NC2=NC3=CC(C(OC)=O)=CC=C3N2CCCC4=CC=CC=C4
GSK-J4 (hydrochloride),,5000.00,1000.00,1000.00,,0.20,0.20,,O=C(OCC)CCNC1=CC(N2CCC(C=CC=C3)=C3CC2)=NC(C4=CC=CC=N4)=N1.Cl
MMV666607,,142.00,1038.00,5000.00,,7.31,35.21,,[O-][N+](=O)c1ccc(C=NNc2nc3ccccc3[nH]2)cc1
MMV073843,,174.80,1047.00,2349.00,,5.99,13.44,,CN(C)c1ccc(cc1)N=Cc2ccc(cc2)N3CCOCC3
MMV019406,,38.75,1052.00,418.00,,27.15,10.79,,CCC1(C)CC(CCNCc2ccccc2O)(CCO1)c3ccc(C)cc3
GM45,,400.00,1056.00,600.00,,2.64,1.50,,CC(C=C1)=CC=C1CNC2=CC(C(F)(F)F)=C(C#N)C3=NC4=CC(Cl)=C(Cl)C=C4N32
MMV020243,,134.26,1058.32,5000.00,5000.00,7.88,37.24,37.24,n1c(N(C)C)cc(C)nc1Nc(cc2)ccc2NC(=O)Nc3ccccc3
MMV672643,,42.40,1071.00,460.00,,25.26,10.85,,CS(=O)c1ccc(cc1)c2cnc(N)c(c2)c3ccc(nc3)C(F)(F)F
MMV084940,,1040.00,1081.10,1040.00,4807.38,1.04,1.00,4.62,C1(=NC(C)(Cc(cc(OC)c(OC)c2)c23)C)C3=NNC1=O
MMV006303,,28.59,1136.00,2635.00,2100.00,39.73,92.17,73.45,c1(c(ccn2)NCCN(CC)CC)c2cc(cccc3)c3c1
MMV670401,,42.11,1168.50,238.40,,27.75,5.66,,Nc1ncc(cc1c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CC[C@@H](O)C4
DM-36,,484.00,1180.00,,,2.44,,,CC(C)(C)c1nc(on1)c1ccc(CCN2CCC(Nc3nc4ccccc4n3C)CC2)cc1
MMV007160,,24.80,1185.00,208.00,,47.78,8.39,,Cc1ccc(cc1)N2C3N(c4ccccc4C2N(c5ccccc35)S(=O)(=O)c6ccc(C)cc6)S(=O)(=O)c7ccc(C)cc7
MMV665820,,520.00,1214.00,2000.00,,2.33,3.85,,COc1ccc2C(=O)C=C(Oc2c1)C(Cl)(Cl)Cl
KS45,,110.00,1260.00,590.00,,11.45,5.36,,ClC1=CC(C2=C(C#N)C(N3C(NCCNCC)=C2)=NC4=C3C=CC=C4)=CC=C1Cl
KS40,,210.00,1280.00,490.00,,6.10,2.33,,N#CC1=C(C2=CC=CC(C(F)(F)F)=C2)C=C(NCCNCC)N3C1=NC4=C3C=CC=C4
MMV011895,,842.00,1286.53,5000.00,5000.00,1.53,5.94,5.94,Nc1ccc(cc1)c2nc3cc(Oc4ccc(Oc5ccc6[nH]c(nc6c5)c7ccc(N)cc7)cc4)ccc3[nH]2
AH24,,51.00,1300.00,,,25.49,,,Fc1ccc(cc1F)c1nc2c([NH]1)ccnc2N1CCC(CC1)CN1CCOCC1
MMV665786,,408.00,1308.00,2000.00,,3.21,4.90,,Clc1ccc2OC(=O)C=C(NC3CCN(CCCc4ccccc4)CC3)c2c1
MMV666116,,548.00,1314.00,662.00,,2.40,1.21,,Oc1ccccc1CN2CCC3(CCCN(Cc4ccccc4F)C3)C2
MMV670402,,25.74,1319.50,440.90,,51.26,17.13,,Nc1ncc(cc1c2ccc(cc2)C(F)(F)F)c3ccc(cc3)C(=O)N4CC[C@H](O)C4
MMV000443,,439.00,1355.00,1321.00,,3.09,3.01,,CCOc1ccc2OCN(Cc3ccc(Cl)cc3)Cc2c1
MMV006587,,108.90,1360.00,5000.00,,12.49,45.91,,c12c(ncnc1NCCCN(CC3)CCO3)c4c(ccc(Cl)c4)[nH]2
MMV007273,,1278.00,1361.00,5000.00,5000.00,1.06,3.91,3.91,COc1cc(cc(OC)c1O)c2nc(c3ccc(Sc4ccccc4)cc3)c([nH]2)c5ccccc5
MMV396749,,928.00,1384.56,5000.00,1354.33,1.49,5.39,1.46,C12(Nc(cccc3)c3c4n1c5c(cccc5)n4)C(=O)Nc(ccc(OC)c6)c26
MMV000662,,36.70,1388.00,2000.00,3324.48,37.82,54.50,90.59,COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1
MMV668808,,93.76,1390.00,342.20,,14.83,3.65,,Nc1ncc(nc1c2ccc(nc2)C(F)(F)F)c3ccc(cc3)C#N
MMV019555,,20.00,1428.00,1547.90,470.00,71.40,77.40,23.50,C(CCCNc1c2CCCCc2nc3ccccc13)CCNc4c5CCCCc5nc6ccccc46
MMV019127,,625.00,1436.00,935.00,,2.30,1.50,,CCN(Cc1ccccc1)C2CCN(Cc3cc(Br)ccc3O)CC2
MMV000248,,50.00,1444.00,605.60,310.00,28.88,12.11,6.20,CCN(CC)CCN1C(=N)N(CC(O)c2ccc(Cl)c(Cl)c2)c3ccccc13
GD19,,999.55,1458.00,,,1.46,,,CCN(CC)Cc1cccc(c1O)Nc1nc2ccccc2n1Cc1ccc(cc1)C#N
MMV000704,,1091.06,1462.00,5000.00,,1.34,4.58,,c1(Nc(cc2)ccc2N(CC3)CCN3C)c4c(ccc(OC)c4)ncc1C(OCC)=O
MMV665915,,212.00,1463.00,2000.00,,6.90,9.43,,COc1ccc(cc1)c2nc(NC(=O)CS(=O)(=O)c3ccc(F)cc3)sc2C
MMV000963,,212.50,1476.00,2000.00,,6.95,9.41,,n1c(NCc2ccccc2)c3c(cccc3)nc1Nc(cc4)ccc4OC
MMV665948,,2458.90,1479.00,5000.00,,0.60,2.03,,Oc1ccccc1NC(=O)c2oc(cc2)c3ccc(Cl)cc3Cl
DM-23,,12.00,1520.00,,,126.67,,,FC(F)(F)c1nc(on1)c1ccc(CCN2CCC(Nc3nc4ccccc4[NH]3)CC2)cc1
MMV396703,,406.00,1531.00,3722.00,,3.77,9.17,,c12c(ncnc1NCCN(CC)CC)c3c(ccc(Cl)c3)[nH]2
MMV665789,,592.00,1592.00,1321.00,,2.69,2.23,,CC(NCc1ccccc1)c2cc(Cl)ccc2O
MMV666079,,210.00,1598.09,5000.00,1460.00,7.61,23.81,6.95,Cc1ccc2cc3c(N)c4c(C)ccc(C)c4nc3nc2c1
MMV000442,,255.10,1603.00,332.00,5000.00,6.28,1.30,19.60,CC(C)(C)c1ccc2OCN(Cc3ccc(Cl)cc3)Cc2c1
MMV006787,,200.90,1645.00,1170.00,3713.20,8.19,5.82,18.48,CC(C)CCNCC(O)Cn1c2ccccc2c3ccccc13
MMV665953,,2060.00,1645.00,5000.00,5000.00,0.80,2.43,2.43,Fc1ccc(NC(=O)Nc2ccc(Cl)c(Cl)c2)cc1Cl
MMV011438,,50.00,1656.00,1129.50,820.00,33.12,22.59,16.40,COC(=O)c1ccc(cc1)C2N(C(=O)c3ccccc3)c4ccccc4N=C5CC(CC(=C25)O)c6ccc(F)cc6
KS60,,30.00,1670.00,1440.00,,55.67,48.00,,ClC1=CC2=C(N=C3N2C(NCCNCC)=CC(C4=CC=C(C(F)(F)F)C=C4)=C3C#N)C(Cl)=C1
DM-24,,66.00,1670.00,,,25.30,,,FC(F)(F)c1nc(on1)c1ccc(CCN2CCC(Nc3nc4ccccc4n3C)CC2)cc1
MMV001038,,174.70,1671.00,3317.00,,9.56,18.99,,n1c(NCCO)c2c(cccc2)nc1Nc(ccc(C)c3C)c3
MMV007181,,73.60,1721.00,590.00,,23.38,8.02,,Cc1cc(Nc2ccc(OCc3ccccc3)cc2)nc4cc(O)ccc14
MMV006429,,32.80,1746.00,3317.00,,53.23,101.13,,CC(C)CN1C(C(C(=O)Nc2cc(C)on2)c3ccccc3C1=O)c4cccs4
MMV000634,,634.20,1790.00,2000.00,,2.82,3.15,,CC1CCCCN1CCCNC(=O)c2ccc3c(c2)sc4nc(cn34)c5ccc(F)cc5
MMV034136,,574.69,1793.00,,,3.12,,,
KS8,,120.00,1800.00,740.00,,15.00,6.17,,FC(C(C=C1)=CC=C1C2=C(C#N)C(N3C(NCCNCC)=C2)=NC4=C3C=CC=C4)(F)F
MMV000570,,194.00,1801.00,469.00,,9.28,2.42,,CCc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1
MMV668807,,26.16,1835.00,901.25,,70.15,34.45,,Nc1ncc(nc1c2ccc(nc2)C(F)(F)F)c3ccncc3
MMV019690,,0.78,1936.20,1166.00,100.00,2482.31,1494.87,128.21,COc1ccc(cc1CN2CCN(CC2)c3ccc(F)cc3)C4NCCc5c4[nH]c6ccccc56
MMV006427,,78.20,1960.00,5000.00,2237.62,25.06,63.94,28.61,COc1cc(OC)c(cc1Cl)N(C)C(=O)c2cc3CS(=O)(=O)c4ccccc4c3s2
MMV006962,,993.00,1981.99,5000.00,5000.00,2.00,5.04,5.04,Clc1ccc(cc1)C(=O)Nc2ccc(cc2)c3nc4cc(NC(=O)c5ccc(Cl)cc5)ccc4[nH]3
MMV000848,,660.00,1997.00,2000.00,3600.00,3.03,3.03,5.45,OC(CNC1CCCC1)Cn2c3ccccc3c4ccccc24
MMV000445,,1.97,2000.00,1611.00,3586.66,1015.23,817.77,1820.64,CCCCCCN1C(=N)N(CC(O)COc2cccc(C)c2)c3ccccc13
MMV000642,,20.20,2000.00,596.00,,99.01,29.50,,COc1ccc(NC(=O)C2C(N(CC(C)C)C(=O)c3ccccc23)c4cccs4)cc1Cl
MMV666023,,36.80,2000.00,183.50,5000.00,54.35,4.99,135.87,C(c1ccccc1)n2c(N=Nc3c(Nc4ccccc4)ccc5ccccc35)nc6ccccc26
MMV665943,,190.00,2000.00,1099.00,570.00,10.53,5.78,3.00,Nc1ccc(cc1)c2nc3cc(Cc4ccc5[nH]c(nc5c4)c6ccc(N)cc6)ccc3[nH]2
MMV006558,,191.80,2000.00,935.00,,10.43,4.87,,Cc1cc(C)c2CN(Cc3ccccc3Cl)COc2c1
MMV001246,,206.00,2000.00,781.00,,9.71,3.79,,CSc1ccccc1C(=O)Nc2nc(cs2)c3ccccn3
MMV665830,,249.70,2000.00,541.00,2043.00,8.01,2.17,8.18,CC1CC2=C(CC1CNCCCN(C)C)C(C)(C)CCC2
MMV666687,,270.00,2000.00,1.00,1660.00,7.41,0.00,6.15,COc1cc(cc(OC)c1OC)C(=O)ON=C(N)Cc2cccc3ccccc23
MMV009063,,293.00,2000.00,897.00,,6.83,3.06,,OC(CNC1CCCCC1)Cn2c3ccccc3c4ccccc24
MMV666686,,352.00,2000.00,1.00,2060.00,5.68,0.00,5.85,COc1ccccc1C(=O)ON=C(N)Cc2cccc3ccccc23
MMV000787,,407.00,2000.00,584.00,4574.65,4.91,1.43,11.24,CCCOCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14
MMV666054,,499.44,2000.00,1075.00,5000.00,4.00,2.15,10.01,COc1ccc(cc1)C(=O)NC(c2ccc(Cl)cc2Cl)c3cc(Cl)c4cccnc4c3O
MMV666061,,530.00,2000.00,899.00,,3.77,1.70,,COc1cccc(O)c1CN2CCC3(CCCN(Cc4ccc(F)cc4)C3)C2
MMV000788,,697.00,2000.00,2000.00,5000.00,2.87,2.87,7.17,CC(C)OCc1cc(CN2CCN(CC2)c3cccc(Cl)c3)c(O)c4ncccc14
MMV665929,,720.00,2000.00,2000.00,,2.78,2.78,,CCCCNCC(O)(c1ccc(Cl)cc1)c2ccc(Cl)cc2
MMV665902,,893.00,2000.00,2000.00,,2.24,2.24,,OC(CN1C(=N)N(CCN2CCCCC2)c3ccccc13)c4cccc(Br)c4
MMV011436,,946.50,2000.00,2000.00,,2.11,2.11,,CC(C)(C)c1ccc(cc1)C2CC(=C3C(N(C(=O)c4ccccc4Cl)c5ccccc5N=C3C2)c6ccc(F)cc6)O
MMV000839,,1080.00,2000.00,2000.00,,1.85,1.85,,OC(CNCc1ccccc1)Cn2c3ccccc3c4ccccc24
MMV016838,,1718.00,2000.00,,5000.00,1.16,,2.91,Cc1ccc(cc1)c2cc(C(=O)Nc3cccnc3)c4cc(Br)ccc4n2
MMV020549,,274.00,2027.00,5000.00,,7.40,18.25,,CC1CCN(Cc2ccc(NC(=O)c3cc4ccc5cccnc5c4[nH]3)cc2)CC1
MMV009015,,676.50,2049.00,5000.00,,3.03,7.39,,OC(COc1ccccc1C(=O)CCc2ccccc2)CN3CCCCC3
KS52,,470.00,2210.00,460.00,,4.70,0.98,,N#CC1=C(C2CCCCC2)C=C(NCCNCC)N3C1=NC4=C3C=CC=C4
GD29,,361.05,2239.00,,,6.20,,,CCN(CC)Cc1cccc(c1O)Nc1nc2ccccc2n1Cc1ccc(cc1)F
KS41,,660.00,2270.00,690.00,,3.44,1.05,,ClC(C=C1)=CC=C1C2=C(C#N)C(N3C(NCCNCC)=C2)=NC4=C3C=CC=C4
KS9,,390.00,2300.00,1020.00,,5.90,2.62,,N#CC1=C(C2=CC=C(C(F)(F)F)C=C2)C=C(NCCN3C=NC=C3)N4C1=NC5=C4C=CC=C5
MMV006656,,518.50,2420.18,5000.00,5000.00,4.67,9.64,9.64,CCOC(=O)C1=CN(C)C=C(C1c2cc(Br)c(OCC)c(OC)c2)C(=O)OCC
MMV668809,,38.08,2433.00,432.40,,63.89,11.36,,CS(=O)(=O)c1ccc(cc1)c2cnc(N)c(n2)c3ccc(N)nc3
GM50,,190.00,2489.00,270.00,,13.10,1.42,,ClC1=C(Cl)C=C(N=C2N3C(NCC4=CC(F)=CC=C4)=CC(C(F)(F)F)=C2C#N)C3=C1
MMV674132,,43.71,2604.00,1453.50,,59.57,33.25,,CS(=O)(=O)c1ccc(cc1)c2cnn3CCC(Nc23)c4cccc(c4)S(=O)(=O)C5CC5
MMV023367,,1192.27,2718.00,,5000.00,2.28,,4.19,Nc1ncc(cc1c2nc3cc(F)ccc3[nH]2)c4cn[nH]c4
MMV667482,,26.09,2960.00,5000.00,,113.45,191.64,,CNc1nc(NCCCN(C)C)c2sc(cc2n1)c3ccc(N)cc3
GD38,,1849.00,3065.70,,,1.66,,,CCN(CC)Cc1c(c(ccc1Cl)Nc1nc2ccccc2n1Cc1ccc(cc1)C(F)(F)F)O
MMV396794,,180.00,3606.80,2000.00,870.00,20.04,11.11,4.83,c1(Cl)c(ccc(Cl)c1)OCC(O)CNC(C)(C)CC(C)(C)C
MMV670393,,248.42,3790.00,4267.00,,15.26,17.18,,Cn1ncc2ccc(cc12)c3cnc(N)c(n3)c4ccc(nc4)C(F)(F)F
MMV019313,,115.85,3928.00,,5000.00,33.91,,43.16,CN1C(=O)c2cc(sc2c3ccccc13)C(=O)NCCCN4CCCCCC4
MMV396797,,477.00,3934.38,1768.90,1431.09,8.25,3.71,3.00,n1(nc(C)c2c3ccc(OC)c(OC)c3)c2ncc(C#N)c1N
MMV029272,,264.07,4042.00,,3676.00,15.31,,13.92,Clc1ccc(NC(=O)NCC(CCCN2CCC(CC2)c3c[nH]c4ccccc34)c5ccccc5)cc1Cl
MMV670771,,35.60,4182.50,5000.00,,117.49,140.45,,Nc1nc(NC2CCCNC2)c3sc(cc3n1)c4ccc(cc4)C(F)(F)F
MMV1645159,,388.83,4379.00,,5000.00,11.26,,12.86,CC(C)C[C@H](NC(=O)[C@@H](NC(=O)[C@H](CCON=C(N)N)NC(=O)OCc1ccccc1)C2CCCCC2)[C@@H](O)CC(=O)NCCc3ccccc3
KS44,,380.00,4460.00,3630.00,,11.74,9.55,,CCNCCNC1=CC(C2=CC=CC(F)=C2)=C(C#N)C3=NC4=C(C=CC=C4)N31
KS17,,690.00,4490.00,3020.00,,6.51,4.38,,CC(CCCN(CC)CC)NC1=CC(C2=CC=C(C(F)(F)F)C=C2)=C(C#N)C(N31)=NC4=C3C=CC=C4
MMV670325,,1365.00,4492.00,,3715.67,3.29,,2.72,CCOc1ccc(Cl)c2[C@@H](CN)OB(O)c12
MMV020438,,1150.27,4554.00,,5000.00,3.96,,4.35,COc1cc(Nc2ccc3cc(ccc3n2)S(=O)(=O)N4CCCCC4C)cc(OC)c1OC
KS53,,830.00,4610.00,670.00,,5.55,0.81,,N#CC1=C(C2CCCC2)C=C(NCCNCC)N3C1=NC4=C3C=CC=C4
MMV019662,,1729.00,4715.50,,5000.00,2.73,,2.89,COc1ccc(cc1)N2CCN(CC2)C(CNC(=O)C3CCCCC3)c4ccc5OCOc5c4
KS47,,1560.00,4920.00,1680.00,,3.15,1.08,,N#CC1=C(C2=CC=C(C(OC)=O)C=C2)C=C(NCCNCC)N3C1=NC4=C3C=CC=C4
MMV085203,,5.30,5000.00,235.60,,943.40,44.45,,COc1ccccc1N=C2C(=O)c3ccccc3C(=C2N4CCCCC4)O
AH15,,20.00,5000.00,,,250.00,,,Fc1ccc(cc1F)c1nc2c([NH]1)ccnc2N1CCCN(CC2CC2)CC1
MMV666693,,23.80,5000.00,438.00,730.00,210.08,18.40,30.67,COc1cccc(C=CC2=NC(=O)c3ccccc3O2)c1OC
MMV020492,,25.50,5000.00,5000.00,5000.00,196.08,196.08,196.08,CC1CN(CC(C)O1)C(=O)c2sc3ccccc3c2Cl
MMV670654,,35.00,5000.00,5000.00,,142.86,142.86,,CS(=O)c1ccc(cc1)c2cnc3ccc(nn23)c4cccc(c4)S(=O)C
MMV027634,,37.74,5000.00,,5000.00,132.49,,132.49,Cc1nc(O)c2c(ccc3ccc(CNc4ccc(cc4)C(=O)CC(CCC(=O)O)C(=O)O)cc23)n1
MMV006203,,44.10,5000.00,5000.00,,113.38,113.38,,Cc1cc(NCCN2CCCCC2)c3ccc4ccccc4c3n1
MK5c,,47.00,5000.00,1900.00,,106.38,40.43,,COC(C=C1)=CC=C1CCN(CC2)CCC2NC3=NC4=CC=CC=C4N3
PBI.120,,74.28,5000.00,953.00,,67.31,12.83,,C[C@H](Nc1cc(c(c2nc3cc(c(cc3n12)F)F)C#N)C(F)(F)F)c1ccc(cc1)F
PBI.13,,80.50,5000.00,5000.00,,62.11,62.11,,CCNCCNc1cc(c(c2nc3ccc(c(c3n12)Cl)C)C#N)-c1ccc(cc1)Cl
MMV006389,,86.70,5000.00,733.00,,57.67,8.45,,Fc1cccc(c1)C2Sc3ccccc3N=C4C2C(=O)c5ccccc45
PBI.111,,93.97,5000.00,5000.00,,53.21,53.21,,CC(Nc1cc(c(c2nc3cc(c(cc3n12)F)F)C#N)C(F)(F)F)c1ccc(cc1)C
PBI.105,,94.20,5000.00,568.60,,53.08,6.04,,CC(Nc1cc(c(c2nc3cc(c(cc3n12)F)F)C#N)C(F)(F)F)c1ccc(cc1)Cl
PBI.103,,97.70,5000.00,1737.00,,51.18,17.78,,CC(Nc1cc(c(c2nc3cc(c(cc3n12)F)F)C#N)C(F)(F)F)c1ccc(cc1)F
MMV019066,,104.54,5000.00,,5000.00,47.83,,47.83,COc1ccccc1CNC(=O)CCN2C(=O)Nc3ccsc3C2=O
MMV030084,,109.00,5000.00,5000.00,,45.87,45.87,,NCC(C)(C)c1nc(c2ccc(Cl)c(O)c2)c([NH]1)c1ccncc1
MMV665827,,119.00,5000.00,337.00,5000.00,42.02,2.83,42.02,CCOC(=O)C1=CN(CC)c2cc(N3CCCCC3)c(F)cc2C1=O
MMV667530,,129.73,5000.00,,5000.00,38.54,,38.54,OC(=O)[C@@H]1Cc2c([nH]c3ccccc23)[C@H](N1)c4ccc(Cl)cc4Cl
MMV666596,,135.00,5000.00,592.00,,37.04,4.39,,CSC1=NC(=Nc2c(C)cccc2C)C3(CCC(CC3)C(C)(C)C)N1c4ccc(Cl)cc4
MMV666101,,148.00,5000.00,333.00,,33.78,2.25,,COc1ccc(cc1)C2=C(c3ccc(OC)cc3)C4(C5C(C(=O)N(C5=O)c6ccc(C)cc6)C2(C4=O)c7ccccc7)c8ccccc8
MMV892604,,151.90,5000.00,,5000.00,32.92,,32.92,CC(C)C1(C(=C(N)Oc2[nH]nc(C)c12)C#N)c3cc(F)cc(c3)N4CCC(CC(=O)O)CC4
MMV030084,,160.17,5000.00,,5000.00,31.22,,31.22,NCC(C)(C)c1nc(c2ccc(Cl)c(O)c2)c([NH]1)c1ccncc1
KS46,,170.00,5000.00,2660.00,,29.41,15.65,,N#CC1=C(C2=CC=C(C#N)C=C2)C=C(NCCNCC)N3C1=NC4=C3C=CC=C4
MMV007695,,179.00,5000.00,826.50,,27.93,4.62,,COc1ccc(cc1N2C(=O)C3C(C2=O)C4(C(=O)C3(C(=C4c5ccc(C)cc5)c6ccc(C)cc6)c7ccccc7)c8ccccc8)C(=O)C
MMV668308,,194.24,5000.00,5000.00,,25.74,25.74,,CNc1nc(NCCCN(C)C)c2sc(cc2n1)c3cocc3
PBI.19,,195.00,5000.00,1842.00,,25.64,9.45,,CCN(CC)CCNC1=CC(C2=CC=C(C(F)(F)F)C=C2)=C(C#N)C3=NC4=C(N5CCOCC5)C=CC=C4N31
MMV665980,,210.80,5000.00,5000.00,5000.00,23.72,23.72,23.72,OC1CCCCC1C2(CCCCC2)NC(=S)Nc3ccccc3
MMV084434,,266.00,5000.00,892.00,,18.80,3.35,,COc1ccc(C=C2SC(=NC2=O)Nc3ccc(F)cc3)c(OC)c1
GM41,,310.00,5000.00,740.00,,16.13,2.39,,FC(C=C1)=CC=C1CNC2=CC(C(F)(F)F)=C(C#N)C3=NC4=CC(Cl)=CC(Cl)=C4N32
KS42,,330.00,5000.00,1770.00,,15.15,5.36,,FC(C=C1)=CC=C1C2=C(C#N)C(N3C(NCCNCC)=C2)=NC4=C3C=CC=C4
MMV007127,,337.00,5000.00,875.00,,14.84,2.60,,OC1=C2C(Sc3ccccc3N=C2c4ccccc14)c5ccc(Br)cc5
MMV650896,,341.23,5000.00,,5000.00,14.65,,14.65,c1c(c(ccc1)c2)cc(c(nc3[C@@H](NC(C(CC4)(CCN45)CC5)=O)CCCCCC(=O)NC)c[nH]3)c2
MMV007116,,351.00,5000.00,253.00,5000.00,14.25,0.72,14.25,c1(cnc(c2c1O)ccc(CC)c2)C(OCC)=O
